Title,Original,Generated
Batman: Mystery of the Batwoman,Gotham City's newest hero... or criminal?,She's not just a vigilante...
A Jitney Elopement,Charlie Chaplin's fifth film for Essanay Films,A comedy about a woman who's got everything...
Lottery Ticket,Winning is Just the Beginning Surviving is Another Story,He's got a lot of money to lose.
Sons and Lovers,You'll never forget the young lovers in...,"A comedy about love, lust, and the power of the mind."
Turbulence 2: Fear of Flying,They took the wrong flight to cure their fear.,It's not what you think it is...
The Best of Times,"A comedy about life, hope, and getting even.",You can't win if you don't know who you are.
Home Fries,A long shot romance in a short order world.,The story of a man and a woman who have it all.
Born to Be Wild,What do you do when your best friend's a 400-pound gorilla? Anything she likes.,He's got a lot on his mind...
Brother Bear,Nature Calls,"Welcome to the world of the wild."" [IMDb.com]"
Bandits,"Two's company, three's a crime.",The story of a bank robber and a girl who are both on the wrong side
The Solid Gold Cadillac,Anything can happen to the girl in...,What do you get for your money if you don't get anything?
The Betrayed,What she doesn't know could kill her.,The story of a mother and her daughter who are forced to fight for their lives
Dear John,Love brought them together. Will fate tear them apart?,The story of a man who risked everything to save the world.
Extortion,How much is your family worth?,It's not what you think it is...
Burn,One Year on the Front Lines of the Battle to Save Detroit,The story of one man's fight to save the city of Detroit.
Tess,As timely today as the day it was written.,The story of a woman who was sent to a convent for the sole purpose of
Melinda and Melinda,"Life can be a comedy or a tragedy, it all depends on how you look at it.","A comedy about love, loss, and the power of laughter."
The Harder They Come,With a Piece in His Hand He Takes on the Man!,The story of one man's journey to fame and fortune.
The High Sun,Three decades. Two nations. One love.,"The story of three people, one love and one destiny."
Lamb,Innocence walks a fine line.,The story of one man's journey to a place of beauty and adventure.
Wedding Daze,Marrying a complete stranger is a life sentence.,"A comedy about love, sex, and love at first sight."
Teen Lust,Get laid or die trying.,"It's not what you think it is, it's how you feel."
Cop and ½,One kid's fantasy. One cop's nightmare.,Sometimes the only way to save the day is to do it yourself.
Wicked,Evil never looked so good.,It's not what you think it is.
The General's Daughter,Go behind the lies.,The truth is stranger than fiction.
Lake Bodom,No happy campers here...,The truth is stranger than fiction.
Fight Club: Members Only,This winter... party in a club... that is more than drinks and dance...,The story of four friends who go to war for the first time.
Cub,Be prepared.,It's not what you think it is.
Focus,Everything Is About To Become Very Clear,The story of one man's struggle to survive in the face of persecution.
You're Never Too Young,"Dino's the singing dean of a girl's school, Jerry - a wolf in kid's clothing - in a class by himself with 503 coeds.",You can't hide the truth from your family.
Fat Girl,"A new provocation from the director of ""Romance""","A romantic comedy about love, lust, betrayal and betrayal."
Boone: The Bounty Hunter,You can run but you can't hide,"It's not what you think, it's what we think."
Fifty Shades of Black,Way shadier than gray.,"It's not about sex, it's about love."
Fire at Sea,"More than 17,000 people were reported to have died trying to cross the Mediterranean in the last 15 years...",The story of a man who risked everything to save his country.
Arcade,The Game Wants to Play With You.,It's not just a game.
Thunderpants,Saving the world... One blast at a time!,The story of a boy who became the first man to reach the moon.
Puppet Master vs Demonic Toys,Playtime is over. Now the REAL fun begins.,It's not just a toy.
Saw,Live or die. Make your choice.,It's not a game...
Hercules in the Haunted World,An All New Height in Fright and Might!,The legend of Hercules is alive and well in this new adventure!
Rose Red,Some houses are born bad.,It's not just a house.
A Nightmare on Elm Street,"If Nancy Doesn't Wake Up Screaming, She Won't Wake Up At All!",It's not just the nightmares that scare the kids.
The Heavenly Body,There's something new under the moon!,"It's not a dream, it's a nightmare."
Adventures of Captain Marvel,THE MOST POWERFUL MAN IN CARTOONLAND BECOMES THE STRONGEST MAN ON THE SCREEN! All others pale in the light of this human fortress who finds no barrier too great in his amazing fight for justice,He's the only one who can change the destiny of mankind.
The Crimson Wing: Mystery of the Flamingos,"One lake, a million birds, an incredible story!",There is no such thing as a dead end.
D.A.R.Y.L.,"He can fly a jet, race a car and outsmart a computer. The government created him and now they want him destroyed.",The world's most dangerous robot is about to get a little hairy.
A Cock and Bull Story,Because everyone loves an accurate period piece.,A comedy about the life of a man with a bad attitude.
Bounty Hunters,The hunt begins,They're the only ones who can save the world from a nuclear holocaust.
Call Me,Her fantasies could be fatal.,"It's not murder, it's murder."
Macon County Line,They're on the bad side of the wrong man.,The story of a man who risked everything to save his family.
"Yours, Mine & Ours","18 kids, one house, no way.",A love story that will change your life forever.
Diving Into the Unknown,We just wanted to bring our friends home.,They're not alone.
War on Everyone,They have the right to remain violent.,"It's not just a cop's job, it's his life."
Paris Blues,"A love-spectacular so personally exciting, you feel it's happening to you!","A comedy about love, freedom and love."
La Vérité si je Mens ! 3,"Truth, we missed you!",The story of one man's journey to the top of the world.
French Women,A film by women for women ... and men who appreciate,The story of 11 young girls who live in the city of Paris.
The Lawless Frontier,Pounding Hoofs and Blazing Guns!,He's got to get out of here before he's too late.
The Legend of Ben Hall,Legends never die,He's back...
My Queen Karo,A young girl witnesses the moral dilemmas of free love when her parents join a squatter community in 1970s Amsterdam.,Every family has a story
Ghosthouse,We dare you to go inside...,It's not what you think it is.
Child's Play 2,Look out Jack! Chucky's back!,"It's not just a doll, it's a killer."
Urban Legends: Final Cut,Legends Never Die.,It's not what you think it is.
Lord of the Flies,"Evil is inherent in the human mind, whatever innocence may cloak it...","It's not what you think it is, it's who you are."
Let Us Prey,Darkness Shall Rise,It's not just a cop's job to find the killer.
The Firm,Power can be murder to resist.,The story of a man who risked everything to find the truth.
Die Beautiful,A Glamorous Life Deserves a Fabulous Death,She was born a girl.
Letters from the Big Man,It wasn’t just big hair that caught her attention… it was his big heart.,The story of a woman who risked everything to save the world.
The Silent Scream,Terror so sudden there is no time to scream.,The story of a family whose secrets are revealed in this chilling thriller.
Species: The Awakening,Irresistible beauty. Unstoppable instincts.,It's not just a movie...
The Unfaithful,It's so easy to cry 'SHAME'!,She was the one who killed him.
Three Faces West,What barrier mars the path of their destiny...the fulfillment of their right to happiness?,The story of a woman who risked everything to save her family.
The Incredible Petrified World,See women trapped in fantastic caverns at the center of Earth!,They're trapped deep in the depths of the ocean.
Ambush,M-G-M's Great Drama of the Adventurous West!,The story of one man's search for the lost love of his life.
The Ex,"Credit-grabbing, back-stabbing, wife-nabbing. Just another day at the office.",A comedy about a man who can't stand to be alone.
Pervert!,He's Coming To Get You!,It's not just a movie.
Stealing Home,"Stealing hearts, stealing laughs, stealing memories",He was a kid who loved baseball.
The Hottest State,What happens when your first love is love itself?,The story of a man who made it his life's dream to be a star
Blood Freak,A Dracula On Drugs!,It's not just a movie...
Red Hill,Revenge just rode into town,It's not what you think it is.
My Zinc Bed,Attraction. Temptation. Addiction.,The story of a man who became a drug kingpin...
Robin Hood: Men in Tights,"The legend had it coming... Find out where Robin Hood put his Little John, what made Will Scarlet, and what did Friar Tuck into his tights that Maid Marion all of a quiver?",The greatest adventure of all time is about to begin!
Encounter at Raven's Gate,stranger...deadly companion,You can't believe what's going on in your head.
Chappie,I am consciousness. I am alive. I am Chappie.,He's not just a kid.
My Name Is Nobody,"Nobody, but ""Nobody,"" knows the trouble he's in!",He's the only man in the world who can stop the Greatest Gunfighter of
Diabolique,"See it, be amazed at it, but... BE QUIET ABOUT IT!","It's not murder, it's murder."
Push,One push can change everything.,They're back...
Backflash,There's Nothing Real In This... But The Money.,You can't run from the mob.
Count Three and Pray,Luke Fargo was through with sin... but sin wasn't through with Luke Fargo!,The story of a man who risked everything to save the lives of his people.
Lost & Found,A comedy about a guy who would do anything to get the girl of his dreams - and did!,The story of a man who risked everything to find his love.
Agnivarsha: The Fire and the Rain,An Epic Tale of Love & Scrifice,"An epic tale of love, betrayal, revenge, and the ultimate sacrifice."
The Pit and the Pendulum,Edgar Allan Poe's riveting tale of horror grips the screen again!,How far would you go to get what you want?
Alphabet City,"At 19, they gave him the streets. Tonight, they're going to take them back.",He's got a plan.
Go Figure,"She shoots, She scores, She acessorizes...",The story of a girl who dreams of becoming a hockey star.
Anastasia,From the sensational Broadway stage success that had audiences crying its acclaim!,The story of a woman who became the queen of the world.
Mourning Becomes Electra,...Mother and daughter in love with the same man ... rivals in ruthlessness even to murder!,The story of one man's struggle to keep his family together.
Show Boat,HEAR Glorious New Music and Songs by Jerome Kern and Oscar Hammerstein II:,A comedy about a girl who's got everything...except her heart.
Lewis Black: Stark Raving Black,A evening of elegance sophistication and class,The funniest comedy of the year!
Toys in the Attic,Toys in the Attic Plays With Fire!,"A comedy about love, money and the power of the purse."
Homeward Bound II: Lost in San Francisco,Your favorite talking animals are back!,They're back...
Out of Sight,Opposites attract.,The story of a man who risked everything to save the lives of innocent people.
The Borderlands,Evil has a new form.,There's more than one way to die.
A Summer Story,"For every man and every woman there is that one great love. A love that touches the heart, fires the soul, and lingers in the memory forever.",The story of a man who lost everything...and everything he loved.
7 Days in Hell,The epic battle for epicness,The story of two men who fought for the love of the game.
White House Down,It will start like any other day.,He's the only one who knows how to protect the President.
The Woman on Pier 13,Her beauty served a mob of terror whose one mission is to destroy!,The only way to save the world is to expose the truth.
I Was Monty's Double,The Gigantic Hoax of World War II,"He was a spy, but he was also a man of honor."
Freddy vs. Jason,Evil Will Battle Evil,He's the ultimate evil...
Sweet Sweetback's Baadasssss Song,The Film that THE MAN doesn't want you to see!,The story of a man who risked everything to save a community.
Home Sweet Hell,Psycho Wife. Unhappy Life.,It's not just a movie.
Harry and Walter Go To New York,All the Digby-Hill-Chestnut gang need is two breaks... out of jail... into a safe.,The greatest bank robbery of all time!
"Spring, Summer, Fall, Winter... and Spring","Spring, Summer, Autumn, Winter... and Spring","The story of the monk, the boy, and the temple."
Big Bad Wolves,Some Men Are Created Evil,Three men.
The Fatal Encounter,Who Dares Kill The King,The true story of one of the greatest kings of all time.
Witchfinder General,"He'll hang, burn, and mutilate you. He's the witchfinder general!",The story of a man who risked everything to save a village.
The Spoilers,Crashing Fists in the Gold-Crazed Alaska of '98!,The true story of a man who risked everything to win the love of the world
Romero,"In defense of the poor in El Salvador, he fought with the only weapon he had... the truth.",The story of a man who risked everything to fight for justice.
"Goodbye, Mr. Chips",At The Top Of The Year's,The story of a man who changed the face of British education forever.
Canadian Bacon,"I'll tell ya another thing, their beer sucks!","The story of a man who made a movie about war, and then went to"
The Hucksters,Gable's New Star is Deborah Kerr (rhymes with star),The story of a man who fought for his country and his ideals.
Exam,How far would you go to win the ultimate job?,"It's not what you think, it's what they think."
Seventy-Two Days,"Srećo, laku noć",The story of two families.
Young Bess,A Great and Spectacular Drama!,"She's the Queen of England, the most powerful woman in the world."
Psycho II,"It's 22 years later, and Norman Bates is finally coming home.",It's not just a place to stay...
Excalibur,Forged by a god. Foretold by a wizard. Found by a king.,"A tale of love, power and destiny."
Stranded,Revenge comes at a price.,Revenge is the only way out.
Wall Street,Every dream has a price.,It's not just a game...
No Small Affair,He's 16. She's 22. All he wanted was her picture. What he got was... no small affair.,Love is the most important thing in the world.
An Innocent Affair,They're burning the Scandal at both ends...,How far would you go to win the heart of a man?
"Nikki, Wild Dog of the North","An unsurpassed wilderness adventure of three strange friends...a rugged man, a huge bear, and NIKKI - fighting king of a majestic breed!",The story of a family that survived the Great Depression and the wild west.
The Marathon,You never walk alone,The marathon is about to get a little hairy.
Cocktail,Sometimes good friends may be too good to share...,"A comedy about love, sex and friendship."
Now You See Me,4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.,It's not a game...
American Virgin,There is a first time for everything!,You can't have it both ways.
Thinner,Let the curse fit the crime.,It's not always easy being thin.
Angel's Dance,Don't mess with an angel and expect to be saved.,He's a killer.
The Secret of Kells,Turn the darkness into light,The story of a boy who has the power to change fate.
Robotech: The Movie,Mark held the key to Robotech. Unlocking its powers could save the world!,This is the story of a man and a robot.
Yosemite,Growing up is an adventure,There's no such thing as a safe place to be.
Destination Gobi,ADVENTURE AS FIERY AND FURIOUS AS THE FLAMING SANDS OF CHINA'S GOBI DESERT!,The battle of the sexes is about to begin.
3 Ninjas,Crosses Teenage Mutant Ninja Turtles and Home Alone!,Three brothers.
Three… Extremes,From the Nightmares of 3 Horror Masters,Sometimes you have to make a choice.
Bedtime Stories,Whatever they dream up... he has to survive.,Sometimes you just have to believe it.
Face of Terror,Nothing's more deadly than a man with nothing to lose.,"The truth is stranger than you think."" -- The New York Times"
What Have They Done to Your Daughters?,Just another suicide until the police discovered... A bloody bathroom. A maniac with a cleaver. A schoolgirl sex ring.,It's not just a cop's job to catch the killer.
Masked and Anonymous,Would you reach out your hand to save a drowning man if you thought he might pull you in?,"It's not about the money, it's about how you feel."
Freedom Writers,Their story. Their world. Their future.,"It's not what you think, it's what we think."
Ghost Team One,Arouse the Dead,It's not a ghost house...
Short Circuit 2,The adventures of America's most electric leading man continue.,He's got the power to change the world.
Creed,Your legacy is more than a name,He's the greatest fighter in the history of the world.
Dawn Rider,Justice is a quick draw.,Vengeance is the only weapon that can stop a man from killing.
The Bees,They prey on HUMAN FLESH!,It's not just honeybees.
"Goke, Body Snatcher from Hell",A fiendish vampire from a strange world in outer space drains his victims' blood and turns them into weird corpses!,It's not just a movie.
Transamerica,Life is a Journey. Bring an Open Mind.,What if you could change your mind and change the world forever?
Django Unchained,"Life, liberty and the pursuit of vengeance.",The story of one man's quest to save his family.
Les Biches,A Story of Unusual Love!,"It's not what you think it is, it's how you feel."
Mean Creek,"Beneath the surface, everyone has a secret.","It's not what you think it is, but how you feel."
Salon Kitty,Depraved. Decadent. Damned.,She's the only one who can stop the evil that's been going on for
"Frank McKlusky, C.I.",Accidents Will Happen,It's not what you think it is.
Vegas Vacation,This time the Griswolds are on a roll.,It's all about the girls.
The Condemned,"10 Will Fight, 9 Will Die. You Get To Watch.","He's the only one who can save the day."" -- The New York Times"
The Hunters,"For centuries, a secret organization has protected the world's treasures... Meet the next generation.",The Hunt Begins
The Incredible Jessica James,"Likes are easy, love is hard.","A comedy about love, loss, and the power of friendship."
The Battalion,First. Female. Immortal.,The first Russian women's battalion of death!
The Shamer's Daughter,Truth is the sharpest weapon,It's not just a game...
Demolition Man,The 21st Century's most dangerous cop. The 21st Century's most ruthless criminal.,The only thing more dangerous than a cryogenic body is a human body.
Caddyshack II,The shack is back!,It's not just a place to play.
The Lion King,Life's greatest adventure is finding your place in the Circle of Life.,"It's not just a cub, it's a lion!"
Treasure of the Four Crowns,Share the ultimate modern adventure,It's not just a game...
D.E.B.S.,Evil is so totally busted!,She's got a plan.
Thunderheart,Two men from different worlds. Two cops after the same killer. Together they must uncover the secrets. Together they must discover the truth.,The story of a man who risked everything to find the truth.
The Vatican Tapes,"For 2,000 years the Vatican has recorded evidence of evil. May God have mercy on their souls.",It's not just a movie.
Staten Island Summer,No Regrets,"A comedy about life, love, and the future."
The Leech Woman,She drained men of their loves and lives!,The story of a man and a woman who met and fell in love.
Live!,You Only Get One Shot...Take It,It's not just a show.
The Corruptor,You can't play by the rules if there aren't any.,"He's a cop, but he's also a tough guy."
Antwone Fisher,Antwone Fisher is at war... with himself.,The story of a man who became a sailor...and a woman.
Conception,It takes more than sex to make a baby,"A comedy about sex, love, and the power of sex."
The Life and Death of Peter Sellers,Never Judge a Man by his Cover,"A comedy about a man who made a movie about himself."" [from Wikipedia]"
The Usual Suspects,Five Criminals. One Line Up. No Coincidence.,He's the only one who knows the truth.
Expelled: No Intelligence Allowed,Big science has expelled smart new ideas from the classroom...What they forgot is that every generation has its Rebel!,"It's not just a question of science, it's about life."
Religulous,Heaven help us.,What do you believe in when you see it on the screen?
Barnacle Bill,Wally and Margie are a riot!,The story of a man and a woman who made a difference.
The Boss,Watch your assets,She's a titan.
The Unholy Rollers,A locker room look at the toughest broads in the world!,"She's got it all, but she doesn't know it yet."
The Dog Who Stopped the War,"War, peace, love and honor...in the world of children",It's Christmas Eve and the kids are back to square one.
Hell House,This church wants to scare the Hell out of you.,"Every year, the Hell House is the most popular church in America."
No Stranger Than Love,Looking for love in all the wrong places,A love story that will change your life forever.
Monster High: Friday Night Frights,"The Monster High ghouls are back in a freaky, fabulous double feature that's simply to-die-for!","It's not about winning, it's about getting there."
Bon Cop Bad Cop 2,"It's okay America, we've got your back.",It's not just a crime...
Somm,How much do you know about wine?,"It's not just a court exam, it's a journey."
Big Stan,He'll have to kick some butt to save his own.,It's not a game...
One Dark Night,A night to remember - until the day until you die!,He's back...
None But the Lonely Heart,"""Black as the Ace I am!""","It's not about the money, it's about who you trust."
West Of Shanghai,He'll kill you on a moment's notice!,The story of a man who risked everything to save his country.
Shark Attack 2,The killer is back,It's not just a shark.
Hogfather,This holiday expect the unexpected,There's only one way to save the world...
GirlHouse,Enjoy the show.,"It's not what you think, it's what happens to you."
Bed & Breakfast,Love Is A Happy Accident,The story of a woman who finds herself in love with a man she never knew
Exit Humanity,History has a violent way of repeating itself.,He's back...
Simon & the Oaks,Every family has a secret.,The story of three families.
The Odd Couple,Even More Funny On The Screen... Than It Was As A Broadway And City-To-City Stage Smash!,A comedy about a man who's just got to get over it.
Seven Years in Tibet,At the end of the world his real journey began.,The story of a man who risked everything to become a hero.
Big Sky,A new level of fear.,Fear is the only thing that can stop you from falling in love.
Hitch,The cure for the common man.,"A comedy about love, sex, and love at the same time."
"No Deposit, No Return",A pair of jokers make double trouble in a hullaba-lulu of a caper,You can't escape your grandfather.
16 Wishes,"Everyone's sweet 16 is special, Abby's is magical.",Every wish comes with a price.
The Illustrated Man,Don't dare stare at the illustrated man.,It's not just a tattoo...
Home,Worlds Collide,Welcome to Earth.
Even Money,The Fix. The Gamble. The Betrayal. The Threat.,The story of a man who gambled his life to get rich.
Grave Encounters 2,Fear is just a word. Reality is much worse.,It's not what you think it is.
The Guardian,How Do You Decide Who Lives Or Who Dies?,"It's not just a swim, it's a life lesson."
Beloved,The past has a life of its own.,The story of a man who found love in a place he never knew existed.
Calling Dr. Death,SEE WHAT HAPPENS WHEN HIS MINDS,It's not what you think it is.
Dollman,He's the toughest cop on the planet Arturus -- but on earth he's in over his head!,The world is about to be invaded by a new kind of evil.
Australia,Welcome to Australia!,The story of a man who risked everything to save his land.
7 Minutes,It's a robbery.  A million things could go wrong.,It's not what you think it is...
The Falcon and the Snowman,They came from the best of families. And they committed the worst of crimes.,He was a spy.
Project Almanac,Today is better the second time around,The future is about to be unleashed.
The Marrying Man,"Every man has a weakness. For millionaire Charley Pearl she's blonde, beautiful and loves to say ""I do"".","It's not what you think it is, it's how you feel."
The Life Aquatic with Steve Zissou,"The deeper you go, the weirder life gets.",It's not just a movie.
The Last Supper,Love... Sex... Life... Death. In this house it's all on the table.,"It's not what you believe, it's who you are."
MVP: Most Valuable Primate,Jack skates a little faster... Shoots a little harder... And is driving everyone bananas.,"It's not just a game, it's a way of life."
Airplane!,"What's slower than a speeding bullet, and able to hit tall buildings at a single bound?",A comedy about a man who can't fly.
Brannigan,Big Jim Brannigan takes on London - Chicago Style !,The story of a man who risked everything to save his country.
Fat Man and Little Boy,The story of the extraordinary people who changed our world.,The story of a man who risked everything to save the world.
The Numbers Station,The code has never been compromised. Until now.,"It's not what you think it is, but how you feel."
Son of God,Their Empire. His Kingdom.,He was crucified for the sins of the world.
"No Retreat, No Surrender 2: Raging Thunder","It's not a rematch, it's war!",The story of a man who risked everything to save his country.
The Roommate,What you don't know... can kill you.,It's not what you think it is.
Journey to the Seventh Planet,What is this monstrous THING? With the power of mind over matter?... There beyond the stars your unspeakable fears...deepest desires...come alive...and you are trapped in a spectacle of terror- your secret fears pitted against you!,"It's not what you think it is, it's how you feel."
Robert the Doll,He wants to be your best friend...forever.,"It's not what you think it is, it's how you feel."
The Loreley's Grasp,You'll Never Sleep Alone Again!,It's not just a legend...
The Promotion,Two guys. One job. No rules.,They're the best in the business.
Iron Man,Heroes aren't born. They're built.,Iron Man is back...
Vidal Sassoon: The Movie,How one man changed the world with a pair of scissors,The story of a man who changed the face of fashion forever.
Open House,Welcome to the neighborhood...,"It's not what you think it is, it's how you feel."
Stone & Ed,Life Is Better When You're Stone & Ed.,There's no such thing as a bad case.
Maid in Sweden,Inga at sixteen. Her coming of age.,"A story about love, friendship, and the power of the imagination."
Blueberry Hill,Follow your dreams and find your heart.,The story of a woman who lost her father.
Saint Joan,A Brilliant Triumph!,She's the most beautiful woman in the world.
The Baby,What goes on in this nursery isn't for kids!,It's not what you think it is...
Louis C.K.: Live at the Beacon Theater,Buy The Thing,A comedy about life and death.
The Expendables,Choose Your Weapon.,The battle for the heart of America's heartland is on.
Sniper,One Shot. One Kill. No Exceptions.,"He's a tough guy, but he doesn't know how to fight."
Prey,His savage hunger makes us all... Alien Prey,It's not just a dream...
Robinson Crusoe on Mars,One U.S. astronaut pitted against all the odds beyond this earth!,There's only one thing left to do...
Valley of the Kings,AMAZING! TIMELY! THRILLING!,The story of one man's quest to uncover the ancient secrets of Egypt.
Food Stamped,Is it possible to eat healthy on a food stamp budget?,How much does it cost to feed a family of four?
Quarantine,Contain The Truth.,It's not just a virus...
A Man of No Importance,An extraordinary tale of an ordinary hero.,The story of a man who made it his life to be gay
Weird Woman,MURDER STRIKES WITH VELVET CLAWS!,"It's not what you think it is, it's how you feel."
Angel,"He's invisisible, she's blind, they love each other...","A story of love, loss and redemption."
Hell Drivers,Roaring Down the World's Deadliest Roads!,"It's not about the money, it's about who you trust."
Slaves to the Underground,Love sex insanity. Thank God you're only young once.,"A comedy about love, sex, and rock 'n roll."
Jack the Giant Killer,"Jack went up the beanstalk, and brought down Hell.",It's not what you think it is.
D.O.A.,"Someone poisoned Dexter Cornell. He's got to find out who. He's got to find out why. He's got to find out now. In 24 hours, he'll be Dead On Arrival.",He's got a killer on his mind.
Dumb and Dumber,"What the one doesn't have, the other is missing.",They're back...
Stir of Echoes,In every mind there is a door that should never be opened.,You can't believe what you see.
The Stand,The end of the world is just the beginning.,"It's not what you think it is, it's who you are."
The Teasers,What They Do in Public Will Shock You...What They Do in Private Will Boggle Your Mind!,She's got a secret.
Daniel's World,Soon you will be able to test your tolerance,"A story about love, sex, and love."
Notorious,Notorious woman of affairs... Adventurous man of the world,The story of a man who risked everything to save the world.
The Legend of Tarzan,Human. Nature.,He's back in action again!
Orgazmo,Fighting crime never felt so good!,It's not just a movie.
The Dog,Love is a very strange thing,"A story about love, sex, money and the power of money."
Jane Eyre,The passionate tale of forbidden secrets!,The story of a girl who was raised by a cruel and cruel family.
Pirates of the Caribbean: The Curse of the Black Pearl,Prepare to be blown out of the water.,He's a pirate.
Looking for Eric,"To win back the love of his life, Eric's going to need a little training.",The story of one man's journey to the top of the game.
Rapt,Paying his ransom won't bury his secrets.,The story of one man's struggle to survive in the face of unimaginable danger.
Paws,Some heroes are all talk.,It's a game of cat and mouse...
Soul Music,"A story of reality, fantasy and the bits in the middle",He's back...
Breakin',The beat of the streets is...,It's the dance of the century.
Cursed,What doesn't kill you makes you stronger.,It's not what you think it is.
Pixels,Game On.,It's not just a game...
Intern Academy,Are you hot enough to be admitted?,It's not what you think - it's what we do.
Carrie Fisher: Wishful Drinking,A show where one woman reconciles herself to being Carrie Fisher.,"A comedy about life, love, and the power of drinking."
Jumping the Broom,Sometimes the only way to get past family drama... is to jump right over it.,One family.
Flight of the Intruder,The only thing they can count on is each other.,The war is about to get a whole lot more complicated.
Jack,Jack Powell is about to tackle his biggest adventure ever... the fifth grade!,He's the fastest kid in the world.
Universal Soldier: The Return,Prepare to become obsolete,The battle for the future begins.
Madeline,"In an old house in Paris, that was covered with vines...",The story of a girl with a secret.
Miracle in Harlem,There's Danger! Terror! Mystery! With a Killer on the Loose!,You can't run away from the truth.
Jackboots on Whitehall,The smallest epic film you'll ever see!,The story of the greatest war of all time
When the Cat's Away,No man. No job. No cat.,"It's not just a cat and mouse game, it's a game of cat"
Royal Flash,Ne'er-do-well Harry Flashman is coerced by Otto von Bismark into impersonating a prince.,He's got a plan.
300: Rise of an Empire,Seize your glory!,The battle for the heart and soul of a nation has begun.
Salsa,The Dirtiest Dancing Of Them All!,The story of a man who loves to dance...
Remote Control,Your future is in their hands.,The only thing more dangerous than a computer virus is a human brain.
The Green Room,In the Green Room everyone can hear you scream. But no one will help.,"A story of love, death and the living dead."
Experiment Perilous,Who's in danger from whom? Who's crazy? Who can fathom the obscure motivations?,"He was a doctor, but he was also a womanizer."
Bartok the Magnificent,The lovable hero from Anastasia is back!,"It's not just a movie, it's a nightmare."
The Cake Eaters,Love is the Frosting...,It's not a funeral...
Who's Minding The Mint?,"With a cast of thousands - in hundreds, tens and singles!",The story of a man who risked everything to save the world.
Bel Ami,Temptation. Seduction. Obsession.,The story of a man who changed the face of the world.
The Admiral: Roaring Currents,12 ships against a fleet of 330.,History is made by those who make it.
Shanghai Knights,A Royal Kick In The Arse.,They're back for more.
TalhotBlond,Fantasy kills,Betrayal is the price of a good life.
Secretariat,The Impossible True Story,The story of a woman who overcame everything to become a champion.
Curse of the Golden Flower,Unspeakable secrets are hidden within the Forbidden City.,The true story of the true love of an emperor.
13 Ghosts,IT'S FUN TO BE SCARED BY 13 GHOSTS,He's back...
Everybody Loves Somebody,"If her heart doesn't choose, her family will.",Sometimes you have to change your past to find your future.
Saps at Sea,They'll Scuttle Your Blues To the Bottom of the Sea!,The story of a man who made the world a better place.
Hollywood Hot Tubs,Why not work where everybody plays?,"It's not about the money, it's about who you trust."
Mortal Thoughts,Murder is a secret that should never be shared.,He's a killer.
Chrysalis,The rest are dead...,It's not just a virus.
Alive,A life worse than death.,Death is the only way out.
Nine Dead,It doesn't have to end this way,How far would you go to save your life?
Yojimbo,Better if all these men were dead. Think about it!,"He's a samurai, but he's also a naga."
A Nightmare on Elm Street 3: Dream Warriors,"If you think you're ready for Freddy, think again!",He's back...
The Bloody Judge,"Gehetzt wie Hunde, gejagt wie Wölfe, verbrannt wie Teufel. Im Namen des Rechts!",He's a judge.
The Good Mother,"Can a court determine how we should live, how we should love, how we should raise our children? Now Anna must prove that she is the Good Mother.",The story of a woman who found her way out of the closet.
Delicacy,"A new romantic comedy about Love, Fate, and other Delicacies",The story of a woman whose life was turned upside down when she met a man
Bitten,Relationships can be draining.,She's a killer.
Prime,A Therapeutic New Comedy,The story of a man who made a career out of love.
Chain Reaction,Reaction Time 8-4-96,"It's time to get out of the way."" -- From the creators of "
Mr. Fix It,A man who tricks women into returning to their ex-boyfriends soon finds himself falling for one of his marks.,"A comedy about love, sex, and love at the same time."
Meet the Mormons,Six ordinary individuals. Six extraordinary stories.,The story of one man's journey to become the best in America.
The Mountain Road,Flaming skies... blasted earth... the touch of love!,The story of one man's struggle to save the world from destruction.
Talladega Nights: The Ballad of Ricky Bobby,The story of a man who could only count to #1,It's not just a race.
The Last Match,Sun. Sex. Soccer... Survival,The story of a young man who made a life for himself.
Officers,There is such a profession - to defend their homeland,"The story of two men, one war, the other life."
The Deaths of Ian Stone,Live everyday like it's your last.,Sometimes you just have to kill to survive.
Cold War,Asia's safest city is about to be tested.,It's the Cold War between the United States and China.
My Super Ex-Girlfriend,Hell hath no fury like a superwoman scorned.,She's got the power to change the world.
Vanessa,She starts where Emmanuelle left off,The story of a girl who became a nun...
The Wackiest Ship in the Army,You'll crack your timbers when you see how the Navy sticks the Army sad sacks with the crumbiest ship afloat!,The most dangerous ship on the planet is about to go down.
The Reincarnation of Peter Proud,Suppose you knew who you had been in your previous life. Where you had lived...whom you had loved and how you had died. What then?,He's the only one who knows what happened to his wife.
Bran Nue Dae,Bran Nue Dae,The story of a man who made a choice to live his life the way he
The Naked Gun 33⅓: The Final Insult,"A Mad Bomber is on the Loose, and If Anyone Can Stop Him....So Can Frank!",A comedy about a man who can't stand the thought of his wife and child
Flu Bird Horror,"If They Fly, You Die...",It's not just a virus...
Raising the Bar,Competition at its best!,"It's not about winning, it's about making a difference."
The Day Will Come,"Some have power, others have bravery.",The story of two brothers.
Ghost in the Shell,It found a voice... Now it needs a body.,The world is about to become a cyberpunk wasteland.
